layer,weighted_mean_kl,batch_mean_kl,std_kl,sem_kl,ci95_low,ci95_high,n_batches,n_tokens
0,8.747179168034895,8.748187052352089,0.36991955102590784,0.034954112039829295,8.679676992754024,8.816697111950154,112,100498
1,9.013708874152956,9.017507246562413,0.30523111992812835,0.028841629847412814,8.960977652061484,9.074036841063343,112,100498
2,9.263149709022471,9.266351942505155,0.4840940937558326,0.04574259225832568,9.176696461678837,9.356007423331473,112,100498
3,9.920530423816466,9.92096278497151,0.5936104946698154,0.05609091944765587,9.811024582854104,10.030900987088915,112,100498
4,8.331382895126165,8.346514910459518,0.46126140738479693,0.04358510619042231,8.26108810232629,8.431941718592746,112,100498
5,8.452350954503766,8.468232303857803,0.6663030924556761,0.06295972430110701,8.344831244227633,8.591633363487974,112,100498
6,8.511794608468078,8.519968169076103,0.4304703094574586,0.04067562091505183,8.440243952082602,8.599692386069604,112,100498
7,9.53064884974633,9.54457130602428,0.5753843498506314,0.054368710642262674,9.438008633165444,9.651133978883115,112,100498
8,8.921928220787922,8.922216811350413,0.33847390646651976,0.03198277792124815,8.859530566624766,8.98490305607606,112,100498
9,8.985645445356958,8.996358837400164,0.3667314861889976,0.03465286822832879,8.92843921567264,9.064278459127689,112,100498
10,8.471990905046894,8.4691259094647,0.3230767657876497,0.030527884880613636,8.409291255098696,8.528960563830703,112,100498
11,7.709942966791529,7.715917693717139,0.40669204897901234,0.03842878649234881,7.640597272192135,7.791238115242143,112,100498
12,8.912353052006695,8.919588080474309,0.37369150692689757,0.035310528370912204,8.850379444867322,8.988796716081296,112,100498
13,8.859051092671798,8.869208084685463,0.5044954117716108,0.04767033561145749,8.775774226887005,8.96264194248392,112,100498
14,9.640449442135905,9.656162015029363,0.6893412982939865,0.06513663013329578,9.528494219968103,9.783829810090623,112,100498
15,12.730457057169808,12.749884741646904,1.011629044773842,0.09558995969719329,12.562528420640405,12.937241062653403,112,100498
16,9.040104565581231,9.049260531152997,0.363456097976126,0.03434337313338413,8.981947519811564,9.11657354249443,112,100498
17,8.801033549485377,8.803762461457934,0.5071173084560111,0.04791808156110849,8.70984302159816,8.897681901317707,112,100498
18,9.779486617386459,9.776917278766632,0.6134403909380634,0.05796466852086986,9.663306528465727,9.890528029067537,112,100498
19,10.237042713095061,10.249514962945666,0.8710143017117544,0.08230311538249582,10.088200856795973,10.410829069095358,112,100498
20,13.332006820448761,13.342016262667519,1.0514213097740175,0.09934997531485198,13.147290311050408,13.53674221428463,112,100498
21,10.280304392353617,10.271854213305883,0.7382081588255545,0.06975411443040315,10.135136149022292,10.408572277589473,112,100498
22,11.577466635749685,11.572467284543174,0.807357683838823,0.07628813037552275,11.42294254900715,11.721992020079199,112,100498
23,11.511636151999662,11.53238810811724,0.9021400560270842,0.0852442227141979,11.365309431597412,11.69946678463707,112,100498
24,10.941706268957578,10.946832043784005,0.5159087931140715,0.04874879877754661,10.851284398180013,11.042379689387996,112,100498
25,10.509358780920552,10.507254404681069,0.5165038592942394,0.048805027246344806,10.411596551278233,10.602912258083904,112,100498
26,11.958944133005156,11.964182896273476,0.5271792613828032,0.04981375792748622,11.866547930735603,12.061817861811349,112,100498
27,12.747013945952371,12.748258207525526,0.4968443443003023,0.0469473776902697,12.656241347252596,12.840275067798455,112,100498
28,13.140826170991415,13.14123786347253,0.5164403619563608,0.04879902731188261,13.04559176994124,13.236883957003819,112,100498
29,10.634861429014402,10.629593363830022,0.6344620133648938,0.05995102513145884,10.512089354572362,10.747097373087682,112,100498
30,12.224312157613744,12.221221872738429,0.6946370014661145,0.06563702704796244,12.092573299724423,12.349870445752435,112,100498
31,12.847047490934493,12.84237666640963,0.9480037924275141,0.08957793845390355,12.666803907039979,13.01794942577928,112,100498
32,9.643112993674025,9.641902915069036,0.6077297454706989,0.05742506324471613,9.529349791109391,9.75445603902868,112,100498
33,9.557925130443698,9.554789551666804,0.4569260411664371,0.043175452588416215,9.470165664593509,9.6394134387401,112,100498
34,16.21365873762718,16.206401109695435,0.6880447456946098,0.06501411742830773,16.07897343953595,16.33382877985492,112,100498
35,0.00033586427331957596,0.0003354370068596576,3.170823202972282e-05,2.9961463022921214e-06,0.00032956456010716504,0.00034130945361215016,112,100498
